 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,894,2026,894,2026,1,1
2,0,255,255,255,1066,1995,1066,1995,1,1
3,0,255,255,255,1026,1948,1026,1948,1,1
4,0,255,255,255,2031,1820,2031,1820,1,1
5,0,255,255,255,1525,1810,1525,1810,1,1
6,0,255,255,255,994,1789,994,1789,1,1
7,0,255,255,255,1778,1786,1778,1786,1,1
8,0,255,255,255,1132,1749,1132,1749,1,1
9,0,255,255,255,1268,1727,1268,1727,1,1
10,0,255,255,255,2142,1724,2142,1724,1,1
11,0,255,255,255,1390,1709,1390,1709,1,1
12,0,255,255,255,2214,1695,2214,1695,1,1
13,0,255,255,255,1293,1673,1293,1673,1,1
14,0,255,255,255,1400,1671,1400,1671,1,1
15,0,255,255,255,971,1665,971,1665,1,1
16,0,255,255,255,1116,1656,1116,1656,1,1
17,0,255,255,255,1546,1651,1546,1651,1,1
18,0,255,255,255,187,1650,187,1650,1,1
19,0,255,255,255,1137,1641,1137,1641,1,1
20,0,255,255,255,1439,1636,1439,1636,1,1
21,0,255,255,255,1409,1635,1409,1635,1,1
22,0,255,255,255,1300,1621,1300,1621,1,1
23,0,255,255,255,965,1620,965,1620,1,1
24,0,255,255,255,2142,1617,2142,1617,1,1
25,0,255,255,255,1400,1616,1400,1616,1,1
26,0,255,255,255,1134,1611,1134,1611,1,1
27,0,255,255,255,1413,1589,1413,1589,1,1
28,0,255,255,255,1008,1589,1008,1589,1,1
29,0,255,255,255,171,1588,171,1588,1,1
30,0,255,255,255,1394,1584,1394,1584,1,1
31,0,255,255,255,2140,1577,2140,1577,1,1
32,0,255,255,255,1126,1561,1126,1561,1,1
33,0,255,255,255,1052,1550,1052,1550,1,1
34,0,255,255,255,1090,1547,1090,1547,1,1
35,0,255,255,255,1120,1546,1120,1546,1,1
36,0,255,255,255,2242,1545,2242,1545,1,1
37,0,255,255,255,1605,1543,1605,1543,1,1
38,0,255,255,255,1845,1542,1845,1542,1,1
39,0,255,255,255,1474,1542,1474,1542,1,1
40,0,255,255,255,899,1537,899,1537,1,1
41,0,255,255,255,878,1531,878,1531,1,1
42,0,255,255,255,2012,1528,2012,1528,1,1
43,0,255,255,255,838,1528,838,1528,1,1
44,0,255,255,255,1906,1525,1906,1525,1,1
45,0,255,255,255,2301,1523,2301,1523,1,1
46,0,255,255,255,1992,1523,1992,1523,1,1
47,0,255,255,255,1120,1523,1120,1523,1,1
48,0,255,255,255,1324,1519,1324,1519,1,1
49,0,255,255,255,753,1517,753,1517,1,1
