 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,2785,1659,2785,1659,1,1
2,0,255,255,255,2872,1643,2872,1643,1,1
3,0,255,255,255,3026,1611,3026,1611,1,1
4,0,255,255,255,2836,1606,2836,1606,1,1
5,0,255,255,255,2799,1557,2799,1557,1,1
6,0,255,255,255,2835,1534,2835,1534,1,1
7,0,255,255,255,3072,1532,3072,1532,1,1
8,0,255,255,255,2993,1508,2993,1508,1,1
9,0,255,255,255,2257,1482,2257,1482,1,1
10,0,255,255,255,2283,1475,2283,1475,1,1
11,0,255,255,255,3032,1470,3032,1470,1,1
12,0,255,255,255,2251,1465,2251,1465,1,1
13,0,255,255,255,2893,1448,2893,1448,1,1
14,0,255,255,255,3036,1404,3036,1404,1,1
15,0,255,255,255,2325,1387,2325,1387,1,1
16,0,255,255,255,2997,1386,2997,1386,1,1
17,0,255,255,255,2172,1367,2172,1367,1,1
18,0,255,255,255,2102,1329,2102,1329,1,1
19,0,255,255,255,2118,1328,2118,1328,1,1
20,0,255,255,255,2288,1309,2288,1309,1,1
21,0,255,255,255,2253,1309,2253,1309,1,1
22,0,255,255,255,2231,1293,2231,1293,1,1
23,0,255,255,255,2490,1265,2490,1265,1,1
24,0,255,255,255,2402,1246,2402,1246,1,1
25,0,255,255,255,2794,1244,2794,1244,1,1
26,0,255,255,255,2051,1241,2051,1241,1,1
27,0,255,255,255,2070,1236,2070,1236,1,1
28,0,255,255,255,2255,1228,2255,1228,1,1
29,0,255,255,255,2183,1227,2183,1227,1,1
30,0,255,255,255,2134,1216,2134,1216,1,1
31,0,255,255,255,2048,1213,2048,1213,1,1
32,0,255,255,255,2083,1212,2083,1212,1,1
33,0,255,255,255,2831,1211,2831,1211,1,1
34,0,255,255,255,2016,1208,2016,1208,1,1
35,0,255,255,255,2033,1204,2033,1204,1,1
36,0,255,255,255,2210,1194,2210,1194,1,1
37,0,255,255,255,2085,1194,2085,1194,1,1
38,0,255,255,255,2314,1192,2314,1192,1,1
39,0,255,255,255,1992,1189,1992,1189,1,1
40,0,255,255,255,2097,1180,2097,1180,1,1
41,0,255,255,255,2103,1170,2103,1170,1,1
42,0,255,255,255,2076,1170,2076,1170,1,1
43,0,255,255,255,2181,1152,2181,1152,1,1
44,0,255,255,255,2275,1142,2275,1142,1,1
45,0,255,255,255,2123,1142,2123,1142,1,1
46,0,255,255,255,447,1141,447,1141,1,1
47,0,255,255,255,2808,1127,2808,1127,1,1
48,0,255,255,255,1988,1115,1988,1115,1,1
49,0,255,255,255,2479,1114,2479,1114,1,1
50,0,255,255,255,2059,1109,2059,1109,1,1
51,0,255,255,255,2164,1105,2164,1105,1,1
52,0,255,255,255,69,1096,69,1096,1,1
53,0,255,255,255,2373,1089,2373,1089,1,1
54,0,255,255,255,1977,1087,1977,1087,1,1
55,0,255,255,255,2218,1082,2218,1082,1,1
56,0,255,255,255,2130,1079,2130,1079,1,1
57,0,255,255,255,1954,1077,1954,1077,1,1
58,0,255,255,255,2183,1071,2183,1071,1,1
59,0,255,255,255,1997,1071,1997,1071,1,1
60,0,255,255,255,2017,1069,2017,1069,1,1
61,0,255,255,255,2143,1068,2143,1068,1,1
62,0,255,255,255,988,1055,988,1055,1,1
63,0,255,255,255,72,1052,72,1052,1,1
64,0,255,255,255,968,1047,968,1047,1,1
65,0,255,255,255,1965,1042,1965,1042,1,1
66,0,255,255,255,878,1041,878,1041,1,1
67,0,255,255,255,2683,1034,2683,1034,1,1
68,0,255,255,255,2215,1034,2215,1034,1,1
69,0,255,255,255,492,1027,492,1027,1,1
70,0,255,255,255,853,1026,853,1026,1,1
71,0,255,255,255,2355,1025,2355,1025,1,1
72,0,255,255,255,911,1021,911,1021,1,1
73,0,255,255,255,1988,1019,1988,1019,1,1
74,0,255,255,255,1969,1011,1969,1011,1,1
75,0,255,255,255,2713,1009,2713,1009,1,1
76,0,255,255,255,2196,1006,2196,1006,1,1
77,0,255,255,255,900,1006,900,1006,1,1
78,0,255,255,255,1021,996,1021,996,1,1
79,0,255,255,255,1009,998,1009,998,1,1
80,0,255,255,255,1947,996,1947,996,1,1
