 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,535,2221,535,2221,1,1
2,0,255,255,255,904,2182,904,2182,1,1
3,0,255,255,255,995,2144,995,2144,1,1
4,0,255,255,255,2078,2104,2078,2104,1,1
5,0,255,255,255,1049,2095,1049,2095,1,1
6,0,255,255,255,521,2093,521,2093,1,1
7,0,255,255,255,930,2084,930,2084,1,1
8,0,255,255,255,906,2084,906,2084,1,1
9,0,255,255,255,907,2063,907,2063,1,1
10,0,255,255,255,114,2027,114,2027,1,1
11,0,255,255,255,886,2020,886,2020,1,1
12,0,255,255,255,673,2015,673,2015,1,1
13,0,255,255,255,778,2007,778,2007,1,1
14,0,255,255,255,171,2003,171,2003,1,1
15,0,255,255,255,1016,1989,1016,1989,1,1
16,0,255,255,255,1125,1985,1125,1985,1,1
17,0,255,255,255,887,1985,887,1985,1,1
18,0,255,255,255,994,1976,994,1976,1,1
19,0,255,255,255,730,1974,730,1974,1,1
20,0,255,255,255,746,1969,746,1969,1,1
21,0,255,255,255,970,1968,970,1968,1,1
22,0,255,255,255,843,1968,843,1968,1,1
23,0,255,255,255,1103,1961,1103,1961,1,1
24,0,255,255,255,1086,1961,1086,1961,1,1
25,0,255,255,255,660,1955,660,1955,1,1
26,0,255,255,255,730,1944,730,1944,1,1
27,0,255,255,255,808,1938,808,1938,1,1
28,0,255,255,255,936,1936,936,1936,1,1
29,0,255,255,255,1007,1935,1007,1935,1,1
30,0,255,255,255,675,1933,675,1933,1,1
31,0,255,255,255,886,1919,886,1919,1,1
32,0,255,255,255,597,1910,597,1910,1,1
33,0,255,255,255,953,1908,953,1908,1,1
34,0,255,255,255,852,1906,852,1906,1,1
35,0,255,255,255,720,1904,720,1904,1,1
36,0,255,255,255,888,1883,888,1883,1,1
37,0,255,255,255,2259,1879,2259,1879,1,1
38,0,255,255,255,763,1875,763,1875,1,1
39,0,255,255,255,1026,1862,1026,1862,1,1
40,0,255,255,255,614,1863,614,1863,1,1
41,0,255,255,255,2041,1862,2041,1862,1,1
42,0,255,255,255,1013,1861,1013,1861,1,1
43,0,255,255,255,738,1860,738,1860,1,1
44,0,255,255,255,1097,1858,1097,1858,1,1
45,0,255,255,255,773,1857,773,1857,1,1
46,0,255,255,255,1075,1855,1075,1855,1,1
47,0,255,255,255,1037,1852,1037,1852,1,1
48,0,255,255,255,665,1849,665,1849,1,1
49,0,255,255,255,1114,1846,1114,1846,1,1
50,0,255,255,255,2092,1841,2092,1841,1,1
51,0,255,255,255,982,1841,982,1841,1,1
52,0,255,255,255,1847,1840,1847,1840,1,1
53,0,255,255,255,844,1838,844,1838,1,1
54,0,255,255,255,939,1837,939,1837,1,1
55,0,255,255,255,928,1835,928,1835,1,1
56,0,255,255,255,606,1836,606,1836,1,1
57,0,255,255,255,2252,1835,2252,1835,1,1
58,0,255,255,255,2042,1834,2042,1834,1,1
59,0,255,255,255,2075,1820,2075,1820,1,1
60,0,255,255,255,836,1816,836,1816,1,1
61,0,255,255,255,1724,1812,1724,1812,1,1
62,0,255,255,255,660,1811,660,1811,1,1
63,0,255,255,255,1759,1809,1759,1809,1,1
64,0,255,255,255,2174,1807,2174,1807,1,1
65,0,255,255,255,1739,1805,1739,1805,1,1
66,0,255,255,255,1680,1803,1680,1803,1,1
67,0,255,255,255,2621,1802,2621,1802,1,1
68,0,255,255,255,939,1797,939,1797,1,1
69,0,255,255,255,1967,1796,1967,1796,1,1
70,0,255,255,255,463,1794,463,1794,1,1
71,0,255,255,255,2102,1793,2102,1793,1,1
72,0,255,255,255,2005,1787,2005,1787,1,1
73,0,255,255,255,2307,1786,2307,1786,1,1
74,0,255,255,255,1748,1786,1748,1786,1,1
75,0,255,255,255,483,1785,483,1785,1,1
76,0,255,255,255,1038,1783,1038,1783,1,1
77,0,255,255,255,1989,1781,1989,1781,1,1
78,0,255,255,255,2127,1780,2127,1780,1,1
79,0,255,255,255,1938,1779,1938,1779,1,1
80,0,255,255,255,740,1777,740,1777,1,1
81,0,255,255,255,917,1775,917,1775,1,1
82,0,255,255,255,1907,1773,1907,1773,1,1
83,0,255,255,255,941,1772,941,1772,1,1
84,0,255,255,255,905,1772,905,1772,1,1
85,0,255,255,255,1711,1769,1711,1769,1,1
86,0,255,255,255,1055,1769,1055,1769,1,1
87,0,255,255,255,365,1769,365,1769,1,1
88,0,255,255,255,548,1767,548,1767,1,1
89,0,255,255,255,2727,1765,2727,1765,1,1
90,0,255,255,255,973,1765,973,1765,1,1
91,0,255,255,255,1788,1764,1788,1764,1,1
92,0,255,255,255,1743,1760,1743,1760,1,1
93,0,255,255,255,1675,1760,1675,1760,1,1
94,0,255,255,255,1043,1756,1043,1756,1,1
95,0,255,255,255,2179,1757,2179,1757,1,1
96,0,255,255,255,989,1757,989,1757,1,1
97,0,255,255,255,1839,1754,1839,1754,1,1
98,0,255,255,255,1697,1751,1697,1751,1,1
99,0,255,255,255,1052,1751,1052,1751,1,1
100,0,255,255,255,766,1746,766,1746,1,1
101,0,255,255,255,1804,1745,1804,1745,1,1
102,0,255,255,255,2066,1742,2066,1742,1,1
103,0,255,255,255,1985,1740,1985,1740,1,1
104,0,255,255,255,1090,1740,1090,1740,1,1
105,0,255,255,255,856,1740,856,1740,1,1
106,0,255,255,255,1773,1734,1773,1734,1,1
107,0,255,255,255,883,1736,883,1736,1,1
108,0,255,255,255,541,1736,541,1736,1,1
109,0,255,255,255,837,1735,837,1735,1,1
110,0,255,255,255,1785,1734,1785,1734,1,1
111,0,255,255,255,1845,1733,1845,1733,1,1
112,0,255,255,255,987,1727,987,1727,1,1
113,0,255,255,255,1032,1725,1032,1725,1,1
114,0,255,255,255,964,1725,964,1725,1,1
115,0,255,255,255,731,1720,731,1720,1,1
116,0,255,255,255,2030,1719,2030,1719,1,1
117,0,255,255,255,796,1718,796,1718,1,1
118,0,255,255,255,2112,1717,2112,1717,1,1
119,0,255,255,255,1710,1717,1710,1717,1,1
120,0,255,255,255,780,1717,780,1717,1,1
121,0,255,255,255,1757,1716,1757,1716,1,1
122,0,255,255,255,1096,1710,1096,1710,1,1
123,0,255,255,255,2342,1709,2342,1709,1,1
124,0,255,255,255,1761,1709,1761,1709,1,1
125,0,255,255,255,904,1709,904,1709,1,1
126,0,255,255,255,551,1709,551,1709,1,1
127,0,255,255,255,1728,1708,1728,1708,1,1
128,0,255,255,255,965,1705,965,1705,1,1
129,0,255,255,255,801,1704,801,1704,1,1
130,0,255,255,255,1793,1700,1793,1700,1,1
131,0,255,255,255,716,1700,716,1700,1,1
132,0,255,255,255,1124,1698,1124,1698,1,1
133,0,255,255,255,1893,1697,1893,1697,1,1
134,0,255,255,255,944,1697,944,1697,1,1
135,0,255,255,255,730,1697,730,1697,1,1
136,0,255,255,255,1749,1696,1749,1696,1,1
137,0,255,255,255,1735,1694,1735,1694,1,1
138,0,255,255,255,1116,1691,1116,1691,1,1
139,0,255,255,255,2241,1692,2241,1692,1,1
140,0,255,255,255,1110,1692,1110,1692,1,1
141,0,255,255,255,993,1689,993,1689,1,1
142,0,255,255,255,2049,1687,2049,1687,1,1
143,0,255,255,255,925,1687,925,1687,1,1
144,0,255,255,255,1706,1686,1706,1686,1,1
145,0,255,255,255,735,1686,735,1686,1,1
146,0,255,255,255,1811,1685,1811,1685,1,1
147,0,255,255,255,1115,1680,1115,1680,1,1
148,0,255,255,255,2021,1679,2021,1679,1,1
149,0,255,255,255,1959,1679,1959,1679,1,1
150,0,255,255,255,1789,1679,1789,1679,1,1
151,0,255,255,255,1076,1679,1076,1679,1,1
152,0,255,255,255,644,1679,644,1679,1,1
153,0,255,255,255,1022,1678,1022,1678,1,1
154,0,255,255,255,550,1678,550,1678,1,1
155,0,255,255,255,1101,1677,1101,1677,1,1
156,0,255,255,255,1018,1675,1018,1675,1,1
157,0,255,255,255,913,1675,913,1675,1,1
