 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,0,255,255,255,1398,1526,1398,1526,1,1
2,0,255,255,255,1371,1481,1371,1481,1,1
3,0,255,255,255,1329,1469,1329,1469,1,1
4,0,255,255,255,794,1438,794,1438,1,1
5,0,255,255,255,1586,1411,1586,1411,1,1
6,0,255,255,255,1731,1398,1731,1398,1,1
7,0,255,255,255,1653,1366,1653,1366,1,1
8,0,255,255,255,1246,1333,1246,1333,1,1
9,0,255,255,255,1737,1329,1737,1329,1,1
10,0,255,255,255,904,1318,904,1318,1,1
11,0,255,255,255,1154,1294,1154,1294,1,1
12,0,255,255,255,845,1292,845,1292,1,1
13,0,255,255,255,1318,1274,1318,1274,1,1
14,0,255,255,255,1810,1261,1810,1261,1,1
15,0,255,255,255,1361,1261,1361,1261,1,1
16,0,255,255,255,1742,1251,1742,1251,1,1
17,0,255,255,255,953,1244,953,1244,1,1
18,0,255,255,255,1989,1242,1989,1242,1,1
19,0,255,255,255,1887,1238,1887,1238,1,1
20,0,255,255,255,1360,1233,1360,1233,1,1
21,0,255,255,255,1435,1232,1435,1232,1,1
22,0,255,255,255,1246,1230,1246,1230,1,1
23,0,255,255,255,1683,1223,1683,1223,1,1
24,0,255,255,255,1725,1214,1725,1214,1,1
25,0,255,255,255,1561,1213,1561,1213,1,1
26,0,255,255,255,1773,1211,1773,1211,1,1
27,0,255,255,255,2149,1209,2149,1209,1,1
28,0,255,255,255,1177,1206,1177,1206,1,1
29,0,255,255,255,1463,1205,1463,1205,1,1
30,0,255,255,255,1211,1204,1211,1204,1,1
31,0,255,255,255,968,1201,968,1201,1,1
32,0,255,255,255,2068,1199,2068,1199,1,1
33,0,255,255,255,1502,1196,1502,1196,1,1
34,0,255,255,255,1954,1195,1954,1195,1,1
35,0,255,255,255,1584,1188,1584,1188,1,1
36,0,255,255,255,1529,1184,1529,1184,1,1
37,0,255,255,255,1404,1184,1404,1184,1,1
38,0,255,255,255,1561,1177,1561,1177,1,1
39,0,255,255,255,1422,1174,1422,1174,1,1
40,0,255,255,255,1211,1174,1211,1174,1,1
41,0,255,255,255,1143,1169,1143,1169,1,1
42,0,255,255,255,1879,1167,1879,1167,1,1
43,0,255,255,255,1271,1166,1271,1166,1,1
44,0,255,255,255,1448,1163,1448,1163,1,1
45,0,255,255,255,1256,1160,1256,1160,1,1
46,0,255,255,255,2125,1159,2125,1159,1,1
47,0,255,255,255,1465,1159,1465,1159,1,1
48,0,255,255,255,1063,1155,1063,1155,1,1
49,0,255,255,255,1760,1150,1760,1150,1,1
50,0,255,255,255,1276,1146,1276,1146,1,1
51,0,255,255,255,1743,1137,1743,1137,1,1
52,0,255,255,255,1566,1131,1566,1131,1,1
53,0,255,255,255,794,1128,794,1128,1,1
54,0,255,255,255,940,1126,940,1126,1,1
55,0,255,255,255,1236,1118,1236,1118,1,1
56,0,255,255,255,1558,1115,1558,1115,1,1
57,0,255,255,255,1407,1113,1407,1113,1,1
58,0,255,255,255,482,1112,482,1112,1,1
59,0,255,255,255,1670,1106,1670,1106,1,1
60,0,255,255,255,1151,1103,1151,1103,1,1
61,0,255,255,255,1441,1102,1441,1102,1,1
62,0,255,255,255,2307,1098,2307,1098,1,1
63,0,255,255,255,1725,1097,1725,1097,1,1
64,0,255,255,255,1603,1095,1603,1095,1,1
65,0,255,255,255,1575,1094,1575,1094,1,1
66,0,255,255,255,1017,1092,1017,1092,1,1
67,0,255,255,255,1628,1091,1628,1091,1,1
68,0,255,255,255,2025,1089,2025,1089,1,1
69,0,255,255,255,1060,1088,1060,1088,1,1
70,0,255,255,255,1157,1087,1157,1087,1,1
71,0,255,255,255,1382,1085,1382,1085,1,1
72,0,255,255,255,1288,1085,1288,1085,1,1
73,0,255,255,255,1311,1084,1311,1084,1,1
74,0,255,255,255,849,1082,849,1082,1,1
75,0,255,255,255,370,1079,370,1079,1,1
76,0,255,255,255,986,1078,986,1078,1,1
77,0,255,255,255,1347,1077,1347,1077,1,1
78,0,255,255,255,1209,1076,1209,1076,1,1
79,0,255,255,255,1136,1075,1136,1075,1,1
80,0,255,255,255,1577,1073,1577,1073,1,1
81,0,255,255,255,1001,1072,1001,1072,1,1
82,0,255,255,255,769,1069,769,1069,1,1
83,0,255,255,255,1224,1068,1224,1068,1,1
84,0,255,255,255,1663,1067,1663,1067,1,1
85,0,255,255,255,1247,1064,1247,1064,1,1
86,0,255,255,255,1475,1063,1475,1063,1,1
87,0,255,255,255,1182,1063,1182,1063,1,1
88,0,255,255,255,1691,1060,1691,1060,1,1
89,0,255,255,255,1202,1060,1202,1060,1,1
90,0,255,255,255,1578,1058,1578,1058,1,1
91,0,255,255,255,1499,1058,1499,1058,1,1
92,0,255,255,255,822,1057,822,1057,1,1
93,0,255,255,255,1230,1056,1230,1056,1,1
94,0,255,255,255,1611,1055,1611,1055,1,1
95,0,255,255,255,1544,1055,1544,1055,1,1
96,0,255,255,255,1741,1053,1741,1053,1,1
97,0,255,255,255,1292,1053,1292,1053,1,1
98,0,255,255,255,1170,1051,1170,1051,1,1
99,0,255,255,255,1477,1047,1477,1047,1,1
100,0,255,255,255,1413,1046,1413,1046,1,1
101,0,255,255,255,1317,1046,1317,1046,1,1
102,0,255,255,255,1357,1045,1357,1045,1,1
103,0,255,255,255,221,1043,221,1043,1,1
104,0,255,255,255,990,1040,990,1040,1,1
105,0,255,255,255,1700,1039,1700,1039,1,1
106,0,255,255,255,1799,1036,1799,1036,1,1
107,0,255,255,255,1497,1032,1497,1032,1,1
108,0,255,255,255,831,1032,831,1032,1,1
109,0,255,255,255,1153,1028,1153,1028,1,1
110,0,255,255,255,1099,1027,1099,1027,1,1
111,0,255,255,255,1035,1027,1035,1027,1,1
112,0,255,255,255,1431,1023,1431,1023,1,1
113,0,255,255,255,1844,1022,1844,1022,1,1
114,0,255,255,255,1704,1022,1704,1022,1,1
115,0,255,255,255,1250,1020,1250,1020,1,1
116,0,255,255,255,1727,1010,1727,1010,1,1
117,0,255,255,255,1332,1009,1332,1009,1,1
118,0,255,255,255,1058,1008,1058,1008,1,1
119,0,255,255,255,1041,1008,1041,1008,1,1
120,0,255,255,255,1015,1008,1015,1008,1,1
121,0,255,255,255,992,1008,992,1008,1,1
122,0,255,255,255,1442,1007,1442,1007,1,1
123,0,255,255,255,1540,1006,1540,1006,1,1
124,0,255,255,255,1519,1006,1519,1006,1,1
125,0,255,255,255,1383,1006,1383,1006,1,1
126,0,255,255,255,1125,1005,1125,1005,1,1
127,0,255,255,255,1579,1003,1579,1003,1,1
128,0,255,255,255,1024,1001,1024,1001,1,1
129,0,255,255,255,1560,1001,1560,1001,1,1
130,0,255,255,255,1671,1000,1671,1000,1,1
131,0,255,255,255,1308,1000,1308,1000,1,1
132,0,255,255,255,1245,999,1245,999,1,1
133,0,255,255,255,1470,998,1470,998,1,1
134,0,255,255,255,1364,998,1364,998,1,1
135,0,255,255,255,1265,998,1265,998,1,1
136,0,255,255,255,1074,997,1074,997,1,1
137,0,255,255,255,797,996,797,996,1,1
138,0,255,255,255,1158,995,1158,995,1,1
139,0,255,255,255,952,995,952,995,1,1
140,0,255,255,255,1534,994,1534,994,1,1
141,0,255,255,255,731,994,731,994,1,1
142,0,255,255,255,1996,993,1996,993,1,1
143,0,255,255,255,748,993,748,993,1,1
144,0,255,255,255,664,993,664,993,1,1
145,0,255,255,255,980,991,980,991,1,1
146,0,255,255,255,1736,990,1736,990,1,1
147,0,255,255,255,1409,987,1409,987,1,1
148,0,255,255,255,1174,987,1174,987,1,1
149,0,255,255,255,1039,984,1039,984,1,1
150,0,255,255,255,969,984,969,984,1,1
151,0,255,255,255,1467,982,1467,982,1,1
152,0,255,255,255,984,981,984,981,1,1
153,0,255,255,255,2043,979,2043,979,1,1
154,0,255,255,255,1817,979,1817,979,1,1
155,0,255,255,255,1783,979,1783,979,1,1
156,0,255,255,255,1651,978,1651,978,1,1
